X,Y,ID,Accessible,New
-79.408091,43.6534652,1,1,
-79.2807957,43.7673467,2,1,
-79.2968177,43.8027381,3,1,
-79.3727357,43.6629058,4,1,
-79.3979248,43.6769424,5,1,
-79.3484478,43.6892453,6,1,
-79.2715471,43.6880725,7,1,
-79.5465138,43.7288592,8,1,
-79.2992226,43.6809618,9,1,
-79.571512,43.6898931,10,1,
-79.4911502,43.6298822,11,1,
-79.4054585,43.6865103,12,1,
-79.3814109,43.6592246,13,,
-79.3397797,43.6750547,14,1,
-79.3988108,43.6473226,15,,
-79.3326132,43.7098214,16,1,
-79.1960723,43.7877474,17,1,
-79.4051348,43.6573037,18,1,
-79.302467,43.7214409,19,1,
-79.3207292,43.6728311,20,1,
-79.3084055,43.681671,21,1,
-79.5371169,43.6183434,22,1,
-79.351572,43.7025389,23,1,
-79.5285355,43.6449355,24,1,
-79.2216764,43.806776,25,,
-79.4136707,43.6707043,26,1,
-79.3671253,43.6593724,27,,
-79.3517348,43.6641346,28,1,
-79.3015285,43.7621849,29,1,
-79.5635488,43.7370183,30,1,
-79.3725585,43.660901,31,,
-79.5039565,43.6066328,32,1,
-79.2784564,43.6937596,33,1,1
-79.2524262,43.7043013,34,1,1
-79.4376435,43.666092,35,1,
-79.3736989,43.6687936,36,1,
-79.566095,43.7412508,37,1,
-79.4405267,43.6395743,38,1,
-79.194133,43.8028601,39,1,
-79.3782652,43.6577117,40,1,
-79.1868594,43.78491,41,1,
-79.1954553,43.7670626,42,1,
-79.4007405,43.6586304,43,1,
-79.4460721,43.665323,44,1,
-79.3480958,43.6659441,45,1,
-79.3640237,43.659656,46,1,
-79.5562391,43.6467618,47,1,
-79.2394541,43.7664602,48,1,
-79.2122905,43.7621587,49,1,
-79.4102385,43.67565,50,,
-79.4102385,43.67565,51,,
-79.4102385,43.67565,52,,
-79.4684109,43.6919292,53,1,
-79.2898731,43.6910643,54,1,
-79.4298621,43.6618456,55,1,
-79.3661795,43.659154,56,1,
-79.3661795,43.659154,57,,
-79.0640863,43.846562,58,1,
-79.371766,43.661432,59,,
-79.5933022,43.7414221,60,1,
-79.394743,43.6631489,61,,
-79.3233931,43.7791976,62,1,
-79.1853174,43.7679442,63,1,
-79.5538902,43.685308,64,1,
-79.3828392,43.6617516,65,1,
-79.3519551,43.6585476,66,1,
-79.3664221,43.6624719,67,1,
-79.2790728,43.7059179,68,1,1
-79.2547618,43.6993667,69,1,1
-79.2411161,43.7409305,70,1,1
-79.4793089,43.6501668,71,1,1
-79.4888876,43.6701854,72,1,1
-79.4867346,43.6661678,73,1,1
-79.3307816,43.7967914,74,1,1
-79.2760343,43.7783013,75,1,1
-79.2543654,43.7746225,76,1,1
-79.2370971,43.8131917,77,1,1
-79.2812018,43.7643643,78,1,1
-79.3460276,43.7057953,79,1,1
-79.5306375,43.6460933,80,1,1
-79.2679311,43.7520927,81,1,1
-79.5027155,43.6646543,82,1,1
-79.2316767,43.7839791,84,1,1
-79.495859,43.6777117,85,1,1
-79.5148921,43.7018332,86,1,1
-79.5572269,43.6978438,87,1,1
-79.5839601,43.7398199,88,1,
-79.5330329,43.7724357,89,1,
-79.5647341,43.7053887,90,1,
-79.4451605,43.7740567,91,1,
-79.5080418,43.7203451,92,1,
-79.3474527,43.7320246,93,1,
-79.58159,43.7463398,94,1,
-79.5038247,43.716622,95,1,
-79.5101503,43.7400146,96,1,
-79.4427428,43.7185808,97,1,
-79.4819558,43.755438,98,1,
-79.3868125,43.7655965,99,1,
-79.3512822,43.7818042,100,1,
-79.522291,43.7480318,101,1,
-79.4684109,43.6919292,102,1,
-79.5201882,43.7015716,103,1,
